1周あたりのドロップ率（％）,,Best5表はこちら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エリア,クエスト名,,,銅素材,,,,,,,,,,,,,銀素材,,,,,,,,,,,,,,,,,,,,,,金素材,,,,,,,,,,,,,,,,,,輝石,,,,,,,魔石,,,,,,,秘石,,,,,,,ピース,,,,,,,モニュ,,,,,,,猛火,,,,,,,業火,,,,,,,基本絆P,EXP,QP,肖像,,ランチタイム,,,肖像+ランチタイム,,,ティータイム（茶）,,,肖像+ﾌﾚﾃｨｰﾀｲﾑ凸,,,ランチ+茶凸,,,3種,,,,,,
,,AP,データ数,証,骨,牙,塵,鎖,毒針,髄液,鉄杭,火薬,小鐘,剣,灰,刃,種,ﾗﾝﾀﾝ,八連,蛇玉,羽根,歯車,頁,ホム,蹄鉄,勲章,貝殻,勾玉,結氷,指輪,ｵｰﾛﾗ,鈴,矢尻,冠,霊子,糸玉,鱗粉,皮,爪,心臓,逆鱗,根,幼角,涙石,脂,ﾗﾝﾌﾟ,ｽｶﾗﾍﾞ,産毛,胆石,神酒,炉心,鏡,卵,ｶｹﾗ,実,鬼灯,剣輝,弓輝,槍輝,騎輝,術輝,殺輝,狂輝,剣魔,弓魔,槍魔,騎魔,術魔,殺魔,狂魔,剣秘,弓秘,槍秘,騎秘,術秘,殺秘,狂秘,剣ピ,弓ピ,槍ピ,騎ピ,術ピ,殺ピ,狂ピ,剣モ,弓モ,槍モ,騎モ,術モ,殺モ,狂モ,剣猛火,弓猛火,槍猛火,騎猛火,術猛火,殺猛火,狂猛火,剣業火,弓業火,槍業火,騎業火,術業火,殺業火,狂業火,,,,肖像1,肖像2,未凸1,凸1,凸2,像1+凸1,像2+凸1,像1+凸2,ﾌﾚ凸1,自凸1,凸2,像1+茶1,像2+茶1,像1+茶2,ラ+ﾌﾚ茶1,ラ2+自茶,ラ1+茶2,像+ﾗ+ﾌﾚ茶,像2+ﾗ+自茶,像+ﾗ2+自茶,像+ﾗ+茶2,,,
修練場（月）,弓極級,40,4625 ,,,,28.8,,,36.8,,,,,,,27.4,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,9.4,,,,,,,,29.0,,,,,,,109.4,,,,,,,56.2,,,,,,,64.0,,,,,,,82.8,,,,,,,14.7,,,,,,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（月）,弓超級,40,1000 ,19.5,,,26.1,,,,,,,,,,20.9,,,,21.5,,,,20.8,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,20.2,,,,,,,117.9,,,,,,,30.6,,,,,,,80.7,,,,,,,57.9,,,,,,,11.7,,,,,,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（月）,弓上級,30,1351 ,15.8,,,22.6,,,,,,,,,,15.6,,,,9.5,,,,14.7,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,21.1,,,,,,,151.4,,,,,,,15.1,,,,,,,107.9,,,,,,,36.3,,,,,,,8.6,,,,,,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（月）,弓中級,20,1160 ,8.7,34.1,1.1,17.5,,,,,,,,,,14.7,,,,0.8,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.9,,,,,,,39.6,,,,,,,,,,,,,,79.5,,,,,,,18.1,,,,,,,41.0,,,,,,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（月）,弓初級,10,1744 ,10.6,26.0,4.2,6.1,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,5.9,,,,,,,42.0,,,,,,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
修練場（火）,槍極級,40,7324 ,,,,28.3,,28.1,,,,,,,,,,,,23.3,,,25.1,,26.5,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,25.0,,,,,,,105.3,,,,,,,54.3,,,,,,,65.0,,,,,,,83.8,,,,,,,7.1,,,,,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（火）,槍超級,40,1100 ,20.5,,,23.4,,,,,,,,,,26.7,,,,12.5,,,19.0,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,24.3,,,,,,,116.9,,,,,,,29.1,,,,,,,80.2,,,,,,,57.0,,,,,,,8.1,,,,,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（火）,槍上級,30,1100 ,15.5,,,23.0,,,,,,,,,,23.6,,,,6.3,,,13.8,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,20.3,,,,,,,149.4,,,,,,,14.6,,,,,,,103.0,,,,,,,36.3,,,,,,,8.9,,,,,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（火）,槍中級,20,1000 ,7.9,18.8,,14.9,,,,,,,,,,13.4,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,67.3,,,,,,,,,,,,,,75.6,,,,,,,19.5,,,,,,,36.4,,,,,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（火）,槍初級,10,1785 ,13.5,29.9,,5.7,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5,,,,,,,,,,,,,,,,,,,,,53.9,,,,,,,6.2,,,,,,,38.0,,,,,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
修練場（水）,狂極級,40,8308 ,31.9,,,32.0,,,,36.5,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,,9.2,,,,,,,,,,,,,,25.8,,,,,,,107.6,,,,,,,53.4,,,,,,,64.9,,,,,,,83.2,,,,,,,11.0,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（水）,狂超級,40,1000 ,23.8,,,24.1,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,,,114.6,,,,,,,24.8,,,,,,,91.1,,,,,,,53.4,,,,,,,9.1,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（水）,狂上級,30,1100 ,18.1,,,23.1,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,136.6,,,,,,,11.5,,,,,,,103.4,,,,,,,40.5,,,,,,,9.6,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（水）,狂中級,20,1200 ,7.0,,,18.3,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,128.3,,,,,,,64.3,,,,,,,,,,,,,,80.5,,,,,,,18.8,,,,,,,35.2,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（水）,狂初級,10,1342 ,12.1,,,4.1,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.7,,,,,,,,,,,,,,,,,,,,,51.4,,,,,,,6.0,,,,,,,48.2,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
修練場（木）,騎極級,40,5935 ,,,51.8,34.1,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,9.4,,,,,,,15.3,,,,,,,,,,,,30.6,,,,,,,109.7,,,,,,,54.6,,,,,,,65.4,,,,,,,81.6,,,,,,,11.1,,,,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（木）,騎超級,40,1020 ,,,52.6,16.4,,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,21.1,,,,,,,95.9,,,,,,,35.8,,,,,,,83.7,,,,,,,60.4,,,,,,,13.6,,,,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（木）,騎上級,30,2559 ,,,51.4,13.6,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,25.7,,,,,,,119.9,,,,,,,24.0,,,,,,,103.4,,,,,,,40.5,,,,,,,10.2,,,,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（木）,騎中級,20,1570 ,,,32.9,15.5,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,,,,,,,92.4,,,,,,,,,,,,,,80.4,,,,,,,18.2,,,,,,,37.7,,,,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（木）,騎初級,10,2131 ,,,20.1,5.9,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.1,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,5.6,,,,,,,44.3,,,,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
修練場（金）,術極級,40,23056 ,,,,38.4,,,,,,,,,,,,,31.5,,,32.3,,,,,,,,,,,,,,,,,8.9,,,,,,16.1,9.4,,,,,,,,,,,,,,16.8,,,,,,,103.4,,,,,,,79.8,,,,,,,64.7,,,,,,,82.1,,,,,,,14.8,,,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（金）,術超級,40,1001 ,,,,26.2,,,,,,,,,,,,,27.4,,,21.5,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,89.7,,,,,,,80.8,,,,,,,81.3,,,,,,,60.2,,,,,,,12.3,,,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（金）,術上級,30,2008 ,,,,21.9,,,,,,,,,,,,,24.7,,,15.7,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,170.0,,,,,,,25.0,,,,,,,93.9,,,,,,,34.4,,,,,,,14.4,,,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（金）,術中級,20,1110 ,,,,23.4,,,,,,,,,,,,,15.5,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,78.9,,,,,,,,,,,,,,89.9,,,,,,,18.1,,,,,,,46.9,,,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（金）,術初級,10,2171 ,,,,14.0,,,,,,,,,,,,,8.9,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.8,,,,,,,11.9,,,,,,,,,,,,,,65.2,,,,,,,5.7,,,,,,,45.9,,,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
修練場（土）,殺極級,40,5981 ,,,27.6,27.2,36.1,,,,,,,,,35.0,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,24.6,,,,,,,106.6,,,,,,,54.3,,,,,,,65.1,,,,,,,83.0,,,,,,,3.5,,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（土）,殺超級,40,1000 ,,,15.6,20.0,,,,,,,,,,34.0,19.0,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,18.6,,,,,,,114.9,,,,,,,25.5,,,,,,,79.8,,,,,,,59.0,,,,,,,9.6,,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（土）,殺上級,30,1570 ,,,12.2,15.7,,,,,,,,,,17.5,17.6,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,18.5,,,,,,,145.0,,,,,,,14.2,,,,,,,103.8,,,,,,,37.6,,,,,,,11.1,,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（土）,殺中級,20,1418 ,,,20.9,16.0,,,,,,,,,,9.1,3.4,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,,,,105.1,,,,,,,,,,,,,,80.9,,,,,,,20.3,,,,,,,36.1,,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（土）,殺初級,10,1207 ,,,14.8,11.0,,,,,,,,,,,3.9,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,5.1,,,,,,,45.9,,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
修練場（日）,剣極級,40,4980 ,31.3,,,25.9,,,,,,,,,,,,,,22.3,24.3,,,,,23.6,26.5,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,24.5,,,,,,,109.9,,,,,,,57.7,,,,,,,65.3,,,,,,,80.8,,,,,,,10.4,,,,,,,,,,,,,,815,29690 ,8400 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
修練場（日）,剣超級,40,1000 ,20.0,,,27.0,,,,,,,,,,28.3,,,,12.2,18.2,,,,,21.6,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,24.0,,,,,,,115.2,,,,,,,24.6,,,,,,,74.3,,,,,,,56.0,,,,,,,7.1,,,,,,,,,,,,,,615,15690 ,6400 ,665,715,627,676,738,726,776,788,707,645,738,757,745,788,768,768,799,818,807,818,849,,,
修練場（日）,剣上級,30,1551 ,13.9,,,19.9,,,,,,,,,,26.5,,,,18.1,15.9,,,,,17.6,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,25.3,,,,,,,135.8,,,,,,,4.3,,,,,,,101.7,,,,,,,35.3,,,,,,,8.7,,,,,,,,,,,,,,415,5690 ,4400 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
修練場（日）,剣中級,20,1000 ,12.9,,,16.4,,,,,,,,,,13.9,,,,,11.0,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9,,,,,,,75.6,,,,,,,,,,,,,,78.5,,,,,,,20.2,,,,,,,35.8,,,,,,,,,,,,,,265,1385 ,2900 ,315,365,270,291,318,341,391,368,304,278,318,354,378,368,331,331,344,381,404,381,394,,,
修練場（日）,剣初級,10,3616 ,10.5,24.6,4.5,6.2,,,,,,,,,,,,,,,6.1,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,,6.0,,,,,,,47.7,,,,,,,,,,,,,,115,275 ,1400 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
冬木,X-A（屋敷跡）,3,764369 ,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4 ,650 ,75,125,25,27,30,77,127,80,28,26,30,78,126,80,31,31,32,81,128,81,82,,,
冬木,X-B（爆心地）,4,1258 ,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14 ,780 ,85,135,35,38,42,88,138,92,40,36,42,90,136,92,43,43,45,93,140,93,95,,,
冬木,X-C（大橋）,4,29813 ,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14 ,780 ,85,135,35,38,42,88,138,92,40,36,42,90,136,92,43,43,45,93,140,93,95,,,
冬木,X-D（港）,5,1221 ,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,24 ,1040 ,105,155,56,60,66,110,160,116,63,57,66,113,157,116,68,68,71,118,163,118,121,,,
冬木,X-E（教会）,5,1670 ,,19.7,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,12.8,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,75,64 ,1300 ,125,175,76,82,90,132,182,140,86,78,90,136,178,140,93,93,97,143,186,143,147,,,
冬木,X-F（校舎）,6,1381 ,,19.4,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,16.6,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.3,,,,,,,,,,,,,,,,,,,,,,,95,124 ,1560 ,145,195,96,104,114,154,204,164,109,99,114,159,199,164,118,118,123,168,209,168,173,,,
冬木,X-G（燃え盛る森）,15,21028 ,,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,5.7,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,4552 ,5720 ,465,515,423,456,498,506,556,548,477,435,498,527,535,548,518,518,539,568,577,568,589,,,
冬木,変動座標点0号（大空洞）,7,1007 ,,,14.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,6.0,,,,22.0,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,220 ,1820 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
オルレアン,ドンレミ,7,1050 ,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,220 ,1820 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
オルレアン,ヴォークルール,7,1003 ,,7.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,220 ,1820 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
オルレアン,ラ・シャリテ,7,1006 ,6.8,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,220 ,1820 ,165,215,117,126,138,176,226,188,132,120,138,182,220,188,143,143,149,193,232,193,199,,,
オルレアン,ジュラ,7,1903 ,,,7.7,8.0,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,18.5,16.2,,9.1,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,135,300 ,2080 ,185,235,137,148,162,198,248,212,155,141,162,205,241,212,168,168,175,218,255,218,225,,,
オルレアン,リヨン,7,1005 ,23.5,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,12.1,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,135,300 ,2080 ,185,235,137,148,162,198,248,212,155,141,162,205,241,212,168,168,175,218,255,218,225,,,
オルレアン,マルセイユ,7,1084 ,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,300 ,2080 ,185,235,137,148,162,198,248,212,155,141,162,205,241,212,168,168,175,218,255,218,225,,,
オルレアン,ティエール,7,1010 ,,,16.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,135,300 ,2080 ,185,235,137,148,162,198,248,212,155,141,162,205,241,212,168,168,175,218,255,218,225,,,
オルレアン,ボルドー,7,1025 ,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,34.4,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,300 ,2080 ,185,235,137,148,162,198,248,212,155,141,162,205,241,212,168,168,175,218,255,218,225,,,
オルレアン,オルレアン,8,1099 ,,12.4,12.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,17.7,,,,,,,5.0,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,5.5,,,,,,,,,,,155,392 ,2340 ,205,255,158,170,186,220,270,236,178,162,186,228,262,236,193,193,201,243,278,243,251,,,
オルレアン,パリ,13,1130 ,,20.4,11.5,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,10.4,,,,,,,5.4,,,,,,,,,,,2.7,1.9,2.3,,,,,,,,,,,,,,,5.8,,,,,,,,,,,315,1752 ,4420 ,365,415,321,346,378,396,446,428,362,330,378,412,430,428,393,393,409,443,462,443,459,,,
セプテム,アッピア街道,9,1129 ,38.1,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,17.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,175,504 ,2600 ,225,275,178,192,210,242,292,260,201,183,210,251,283,260,218,218,227,268,301,268,277,,,
セプテム,ローマ,9,1245 ,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,504 ,2600 ,225,275,178,192,210,242,292,260,201,183,210,251,283,260,218,218,227,268,301,268,277,,,
セプテム,エトナ火山,9,1130 ,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,504 ,2600 ,225,275,178,192,210,242,292,260,201,183,210,251,283,260,218,218,227,268,301,268,277,,,
セプテム,フロレンティア,9,1128 ,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,33.3,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,504 ,2600 ,225,275,178,192,210,242,292,260,201,183,210,251,283,260,218,218,227,268,301,268,277,,,
セプテム,メディオラヌム,9,1017 ,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,504 ,2600 ,225,275,178,192,210,242,292,260,201,183,210,251,283,260,218,218,227,268,301,268,277,,,
