1周あたりのドロップ率（％）,,Best5表はこちら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バビロニア,葦の原,21,1803 ,,,,,,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
バビロニア,クタ,21,3959 ,,,,,,,,,,,,,,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
バビロニア,北壁,21,1016 ,,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,35.9,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,5.4,,,,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
バビロニア,ニップル,21,3757 ,,,,,,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,29.4,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,5.4,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
バビロニア,エビフ山,21,21645 ,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,24.2,,,,,,,5.4,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
バビロニア,鮮血神殿,21,11244 ,,,,,,,,,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,16.9,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
新宿,代々木二丁目,20,1000 ,,,,,,,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
新宿,国道20号,20,1910 ,,,,33.0,,,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
新宿,新宿駅,21,21601 ,,,,,,,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
新宿,新宿四丁目,21,1190 ,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,15.8,,5.5,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
新宿,歌舞伎町,21,2262 ,,,,32.3,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,19.2,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
新宿,バレルタワー,21,1672 ,,,,,,,,,,,,,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
新宿,パーティー会場,21,1000 ,,,,31.1,,,36.0,,,,,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,11.3,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,36.4,,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
新宿,タワー最上階,21,1770 ,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,3.8,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
新宿,新宿御苑,21,3520 ,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,4.7,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
新宿,新宿二丁目,21,6277 ,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,8.4,,,,9.4,,,23.2,,,,,,,3.3,,,,,,,,,,,,,,,,,,4.5,,,5.0,,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
アガルタ,地底平原,20,4105 ,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,34.8,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
アガルタ,野営地,20,2123 ,,,,,,,,,,,,,,17.6,,,,16.4,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,44.0,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
アガルタ,川辺の町,20,1795 ,,,,,,,,,,,,,,43.8,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,,17.9,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
アガルタ,桃源郷,21,22427 ,,,,,,,,,,,,,,,,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,,,11.4,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
アガルタ,イース,21,1722 ,45.6,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
アガルタ,北の断崖,21,9274 ,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
アガルタ,不夜城,21,1334 ,,,,32.6,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
アガルタ,山裾の密林,21,3397 ,,,54.5,,,,,,,,,,,16.5,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,29.2,,,,,12.1,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
アガルタ,竜宮城,21,1102 ,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,33.8,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
アガルタ,地底大河,21,7359 ,,,,,,,,,,,,,,29.1,,,,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,17.1,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
アガルタ,エルドラド,21,1323 ,,,,32.5,,,,,,,,,,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
アガルタ,大地の裂け目,21,1000 ,,,,,,,,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
下総国,田んぼ,20,1124 ,,,,,,,,,,,,,,44.5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,20.7,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
下総国,里,21,2303 ,,,,32.0,,,,,,,,,,38.9,,,,,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,19.2,,,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
下総国,庵,21,1028 ,,,,,,,,,,,,,,,28.9,,,,,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,22.2,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
下総国,城下町,21,1200 ,,,,,,,,,,,,,,,,,,,,,,,,,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
下総国,合戦場,21,3643 ,,43.4,,31.7,,,,,,,,,,,,,,,,,,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
下総国,土気城,21,1120 ,,,,32.0,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,27.1,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,26.2,,,,,20.3,,,,4.3,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
下総国,裏山（名もなき霊峰）,21,7480 ,,,,32.4,,,,,,,,,,,,26.2,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,25.3,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
下総国,荒川の原,21,9583 ,,,,31.0,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,28.7,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,26.9,,,19.8,,,,,,,,,,4.9,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
下総国,裏山（戦戦恐恐）,21,1681 ,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,,,44.2,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,4.1,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
セイレム,静寂な森,20,3386 ,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
セイレム,カーター家,20,16687 ,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,,4.9,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
セイレム,公会堂,21,8263 ,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
セイレム,波止場,21,1452 ,,,,,43.4,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
セイレム,ウェイトリー家,21,13256 ,,,,,,,,,,,,,,,,,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
セイレム,郊外の屋敷,21,1859 ,,,,,45.0,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
セイレム,ガローの丘,21,20469 ,,,,,,,,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,5.8,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
セイレム,牧草地,21,4451 ,,,,,,,,44.9,,,,,,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
セイレム,空き家,21,4882 ,,,,,,,,45.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
セイレム,隠れ家,21,1331 ,,,,,,,,,,,,,,50.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
セイレム,留置所,21,8918 ,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,45.9,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
アナスタシア,アンカーポイント,20,1037 ,,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,44.8,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
アナスタシア,ヤガ・スモレンスク,20,28487 ,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
アナスタシア,風穴氷窟,20,1907 ,,,,,,43.3,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,735,18888 ,9880 ,785,835,749,808,882,858,908,932,845,771,882,895,871,932,918,918,955,968,945,968,1005,,,
アナスタシア,叛逆軍の砦,21,9579 ,,,,,,,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,44.7,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
アナスタシア,ヤガ・スィチョーフカ,21,1430 ,,,,,,,,,44.6,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
アナスタシア,焼き払われた村,21,18297 ,,,,,,,,,45.6,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,755,20056 ,10140 ,805,855,770,830,906,880,930,956,868,792,906,918,892,956,943,943,981,993,968,993,1031,,,
アナスタシア,ヤガ・ヴャジマ,21,12979 ,,,,,,43.5,,,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
アナスタシア,ヤガ・ジェメンスク,21,87292 ,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,8.8,,,45.7,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,39.6,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
アナスタシア,ヤガ・トゥーラ,21,4017 ,,,,31.1,,,,,33.8,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,,,,,775,21256 ,10400 ,825,875,790,852,930,902,952,980,891,813,930,941,913,980,968,968,1007,1018,991,1018,1057,,,
アナスタシア,潰れた村,21,7205 ,,,,,,,,,,,,,,,,,,,,,,,,29.1,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
アナスタシア,ヤガ・モスクワ,21,78166 ,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,,,,,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
アナスタシア,大渓谷の砦,21,1107 ,,,,32.7,,,,,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,34.1,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,5.5,,795,22488 ,10660 ,845,895,810,874,954,924,974,1004,914,834,954,964,934,1004,993,993,1033,1043,1014,1043,1083,,,
アナスタシア,大樹の根元,21,1470 ,,,,32.4,,34.7,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20.7,,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
アナスタシア,ヤガ・リャザン,21,6091 ,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,36.1,5.3,,,,,,,,815,23752 ,10920 ,865,915,831,896,978,946,996,1028,937,855,978,987,955,1028,1018,1018,1059,1068,1037,1068,1109,,,
